0,137,210
1,138,211
10,129,211
11,128,211
12,126,209
13,128,212
14,128,212
15,125,208
16,126,207
17,127,209
18,127,210
19,128,211
2,138,211
20,131,211
21,135,213
22,135,212
23,132,213
24,133,212
25,130,210
27,133,212
3,138,209
35,136,209
36,130,210
37,130,208
38,128,208
39,126,208
4,135,208
40,126,208
41,131,211
42,131,212
43,135,212
44,139,212
45,139,213
46,138,212
47,134,212
48,133,210
49,131,212
5,131,208
50,132,211
51,132,212
52,135,215
53,133,213
54,132,215
55,134,217
6,132,209
7,131,210
8,131,211
9,133,210
