0,392,433
1,392,434
10,308,347
11,291,332
12,280,320
13,274,313
14,266,307
15,254,295
16,241,282
17,236,276
18,234,272
19,232,270
2,392,435
20,234,270
21,233,267
22,234,271
23,237,275
24,238,275
25,240,277
27,235,272
3,393,435
35,235,276
36,235,275
37,234,274
38,234,273
39,232,271
4,387,432
40,231,270
41,228,268
42,219,263
43,215,260
44,216,261
45,218,263
46,221,265
47,226,268
48,226,270
49,229,272
5,378,420
50,227,271
51,226,270
52,220,264
53,214,260
54,207,252
55,207,252
6,363,406
7,346,387
8,328,369
9,315,356
